,national_park_name,activate_name,url,num_reviews,score,ranking,tags
35,Arches National Park,"Devils Garden Trailhead



#taplc_dmo_attribute_to_collection_clarity_2 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d146397-Reviews-Devils_Garden_Trailhead-Arches_National_Park_Utah.html,306 ,4.5,3,Hiking Trails
36,Arches National Park,"Windows



#taplc_dmo_attribute_to_collection_clarity_3 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d146988-Reviews-Windows-Arches_National_Park_Utah.html,346 ,4.5,4,Geologic Formations
37,Arches National Park,"Landscape Arch



#taplc_dmo_attribute_to_collection_clarity_4 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144929-Reviews-Landscape_Arch-Arches_National_Park_Utah.html,381 ,4.5,5,Geologic Formations
38,Arches National Park,"Balanced Rock Trail



#taplc_dmo_attribute_to_collection_clarity_5 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d3616824-Reviews-Balanced_Rock_Trail-Arches_National_Park_Utah.html,337 ,4.5,6,Hiking Trails
39,Arches National Park,"Fiery Furnace



#taplc_dmo_attribute_to_collection_clarity_6 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144934-Reviews-Fiery_Furnace-Arches_National_Park_Utah.html,371 ,5,7,Geologic Formations
40,Arches National Park,"Park Avenue Trail



#taplc_dmo_attribute_to_collection_clarity_7 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144935-Reviews-Park_Avenue_Trail-Arches_National_Park_Utah.html,191 ,4.5,8,Hiking Trails
41,Arches National Park,"Sand Dune Arch



#taplc_dmo_attribute_to_collection_clarity_8 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144926-Reviews-Sand_Dune_Arch-Arches_National_Park_Utah.html,168 ,4.5,9,Geologic Formations
42,Arches National Park,"Double O Arch



#taplc_dmo_attribute_to_collection_clarity_9 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144927-Reviews-Double_O_Arch-Arches_National_Park_Utah.html,131 ,4.5,1,Geologic Formations
43,Arches National Park,"Visitor Center



#taplc_dmo_attribute_to_collection_clarity_10 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7762110-Reviews-Visitor_Center-Arches_National_Park_Utah.html,117 ,4.5,1,Visitor Centers
44,Arches National Park,"Skyline Arch



#taplc_dmo_attribute_to_collection_clarity_11 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144930-Reviews-Skyline_Arch-Arches_National_Park_Utah.html,86 ,4.5,1,Geologic Formations
45,Arches National Park,"Broken Arch



#taplc_dmo_attribute_to_collection_clarity_12 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144928-Reviews-Broken_Arch-Arches_National_Park_Utah.html,66 ,4.5,1,Geologic Formations
46,Arches National Park,"Partition Arch



#taplc_dmo_attribute_to_collection_clarity_13 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d4187207-Reviews-Partition_Arch-Arches_National_Park_Utah.html,47 ,5,1,Points of Interest & Landmarks
47,Arches National Park,"Upper Delicate Arch Viewpoint



#taplc_dmo_attribute_to_collection_clarity_14 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7807992-Reviews-Upper_Delicate_Arch_Viewpoint-Arches_National_Park_Utah.html,81 ,4,1,Lookouts
48,Arches National Park,"Tower of Babel



#taplc_dmo_attribute_to_collection_clarity_15 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d144925-Reviews-Tower_of_Babel-Arches_National_Park_Utah.html,44 ,4.5,1,Geologic Formations
49,Arches National Park,"Courthouse Towers



#taplc_dmo_attribute_to_collection_clarity_16 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d8571622-Reviews-Courthouse_Towers-Arches_National_Park_Utah.html,30 ,4.5,1,Geologic Formations
50,Arches National Park,"Lower Delicate Arch Viewpoint



#taplc_dmo_attribute_to_collection_clarity_17 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7807988-Reviews-Lower_Delicate_Arch_Viewpoint-Arches_National_Park_Utah.html,72 ,3.5,1,Lookouts
51,Arches National Park,"Wolfe Ranch Rock Art



#taplc_dmo_attribute_to_collection_clarity_18 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7807986-Reviews-Wolfe_Ranch_Rock_Art-Arches_National_Park_Utah.html,31 ,4.5,1,Points of Interest & Landmarks
52,Arches National Park,"Tower Arch



#taplc_dmo_attribute_to_collection_clarity_19 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7762109-Reviews-Tower_Arch-Arches_National_Park_Utah.html,23 ,4.5,2,Geologic Formations
53,Arches National Park,"Pine Tree Arch



#taplc_dmo_attribute_to_collection_clarity_20 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d12148601-Reviews-Pine_Tree_Arch-Arches_National_Park_Utah.html,5 ,4.5,2,Geologic Formations
54,Arches National Park,"Pine Tree Arch Trail



#taplc_dmo_attribute_to_collection_clarity_21 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d12148580-Reviews-Pine_Tree_Arch_Trail-Arches_National_Park_Utah.html,1 review,5,2,Hiking Trails
55,Arches National Park,"Salt Valley Road



#taplc_dmo_attribute_to_collection_clarity_22 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d7807990-Reviews-Salt_Valley_Road-Arches_National_Park_Utah.html,2 ,4,2,Off-Road & ATV Trails
56,Arches National Park,"Pothole Arch



#taplc_dmo_attribute_to_collection_clarity_23 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d10532122-Reviews-Pothole_Arch-Arches_National_Park_Utah.html,1 review,3,2,Geologic Formations
57,Badlands National Park,Loop Road,https://www.tripadvisor.com/Attraction_Review-g143012-d145567-Reviews-Loop_Road-Badlands_National_Park_South_Dakota.html,"1,272 ",5,1,Scenic Drives
58,Badlands National Park,Badlands Wall,https://www.tripadvisor.com/Attraction_Review-g143012-d144984-Reviews-Badlands_Wall-Badlands_National_Park_South_Dakota.html,"1,065 ",5,2,Geologic Formations
59,Badlands National Park,Ben Reifel Visitor Center,https://www.tripadvisor.com/Attraction_Review-g143012-d145582-Reviews-Ben_Reifel_Visitor_Center-Badlands_National_Park_South_Dakota.html,333 ,4.5,3,Visitor Centers
60,Badlands National Park,Big Badlands Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8178781-Reviews-Big_Badlands_Overlook-Badlands_National_Park_South_Dakota.html,113 ,5,4,Geologic Formations
61,Badlands National Park,Notch Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d144983-Reviews-Notch_Trail-Badlands_National_Park_South_Dakota.html,237 ,4.5,5,Hiking Trails
62,Badlands National Park,Door Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d145570-Reviews-Door_Trail-Badlands_National_Park_South_Dakota.html,141 ,4.5,6,Hiking Trails
63,Badlands National Park,Roberts Prairie Dog Town,https://www.tripadvisor.com/Attraction_Review-g143012-d3515504-Reviews-Roberts_Prairie_Dog_Town-Badlands_National_Park_South_Dakota.html,212 ,4.5,7,Nature & Wildlife Areas
64,Badlands National Park,Yellow Mounds Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8260031-Reviews-Yellow_Mounds_Overlook-Badlands_National_Park_South_Dakota.html,66 ,5,8,Geologic Formations
65,Badlands National Park,Pinnacles Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8331150-Reviews-Pinnacles_Overlook-Badlands_National_Park_South_Dakota.html,47 ,5,9,Points of Interest & Landmarks
66,Badlands National Park,Saddle Pass Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d144986-Reviews-Saddle_Pass_Trail-Badlands_National_Park_South_Dakota.html,85 ,4.5,1,Hiking Trails
67,Badlands National Park,Sage Creek Wilderness Area,https://www.tripadvisor.com/Attraction_Review-g143012-d145568-Reviews-Sage_Creek_Wilderness_Area-Badlands_National_Park_South_Dakota.html,85 ,4.5,1,Historic Walking Areas
68,Badlands National Park,Fossil Exhibit Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d145569-Reviews-Fossil_Exhibit_Trail-Badlands_National_Park_South_Dakota.html,149 ,4,1,Hiking Trails
69,Badlands National Park,Castle Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d144985-Reviews-Castle_Trail-Badlands_National_Park_South_Dakota.html,55 ,4.5,1,Hiking Trails
70,Badlands National Park,Cliff Shelf Trail,https://www.tripadvisor.com/Attraction_Review-g143012-d4374312-Reviews-Cliff_Shelf_Trail-Badlands_National_Park_South_Dakota.html,35 ,4.5,1,Hiking Trails
71,Badlands National Park,Panorama Point Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299280-Reviews-Panorama_Point_Overlook-Badlands_National_Park_South_Dakota.html,20 ,5,1,Geologic Formations
72,Badlands National Park,Bigfoot Pass Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299284-Reviews-Bigfoot_Pass_Overlook-Badlands_National_Park_South_Dakota.html,16 ,4.5,1,Geologic Formations
73,Badlands National Park,Homestead Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299282-Reviews-Homestead_Overlook-Badlands_National_Park_South_Dakota.html,12 ,4.5,1,Geologic Formations
74,Badlands National Park,White River Valley Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299285-Reviews-White_River_Valley_Overlook-Badlands_National_Park_South_Dakota.html,11 ,4.5,1,Geologic Formations
75,Badlands National Park,Conata Basin Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299281-Reviews-Conata_Basin_Overlook-Badlands_National_Park_South_Dakota.html,10 ,4.5,1,Geologic Formations
76,Badlands National Park,Burns Basin Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8299283-Reviews-Burns_Basin_Overlook-Badlands_National_Park_South_Dakota.html,8 ,4.5,2,Geologic Formations
77,Badlands National Park,Prairie Wind Overlook,https://www.tripadvisor.com/Attraction_Review-g143012-d8260028-Reviews-Prairie_Wind_Overlook-Badlands_National_Park_South_Dakota.html,8 ,4.5,2,Lookouts
78,Badlands National Park,Gift & Specialty Shops (1),https://www.tripadvisor.com/Attractions-g143012-Activities-c26-t144-Badlands_National_Park_South_Dakota.html,8 ,4.5,2,
79,Badlands National Park,Sheep Mountain Table Road,https://www.tripadvisor.com/Attraction_Review-g143012-d9581620-Reviews-Sheep_Mountain_Table_Road-Badlands_National_Park_South_Dakota.html,3 ,4.5,2,Scenic Drives
80,Big Bend National Park,"Santa Elena Canyon



#taplc_dmo_attribute_to_collection_clarity_0 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d144708-Reviews-Santa_Elena_Canyon-Big_Bend_National_Park_Texas.html,415 ,4.5,1,Canyons
81,Big Bend National Park,"Chisos Mountains



#taplc_dmo_attribute_to_collection_clarity_1 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d144706-Reviews-Chisos_Mountains-Big_Bend_National_Park_Texas.html,215 ,5,2,Mountains
82,Big Bend National Park,"Lost Mine Trail



#taplc_dmo_attribute_to_collection_clarity_2 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d145653-Reviews-Lost_Mine_Trail-Big_Bend_National_Park_Texas.html,204 ,5,3,Hiking Trails
83,Big Bend National Park,"The Window



#taplc_dmo_attribute_to_collection_clarity_3 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d146897-Reviews-The_Window-Big_Bend_National_Park_Texas.html,221 ,4.5,4,Geologic Formations
84,Big Bend National Park,"Ross Maxwell Scenic Drive



#taplc_dmo_attribute_to_collection_clarity_4 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d207243-Reviews-Ross_Maxwell_Scenic_Drive-Big_Bend_National_Park_Texas.html,183 ,4.5,5,Scenic Drives
85,Big Bend National Park,"Boquillas Canyon



#taplc_dmo_attribute_to_collection_clarity_5 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d144709-Reviews-Boquillas_Canyon-Big_Bend_National_Park_Texas.html,123 ,4.5,6,Canyons
86,Big Bend National Park,"The Balanced Rock



#taplc_dmo_attribute_to_collection_clarity_6 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d2471218-Reviews-The_Balanced_Rock-Big_Bend_National_Park_Texas.html,86 ,4.5,7,Geologic Formations
87,Big Bend National Park,"Panther Junction Visitor Center



#taplc_dmo_attribute_to_collection_clarity_7 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3849275-Reviews-Panther_Junction_Visitor_Center-Big_Bend_National_Park_Texas.html,103 ,4.5,8,Visitor Centers
88,Big Bend National Park,"Hot Springs Historic District



#taplc_dmo_attribute_to_collection_clarity_8 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d280396-Reviews-Hot_Springs_Historic_District-Big_Bend_National_Park_Texas.html,104 ,4,9,Historic Sites
89,Big Bend National Park,"Emory Peak



#taplc_dmo_attribute_to_collection_clarity_9 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d145654-Reviews-Emory_Peak-Big_Bend_National_Park_Texas.html,79 ,5,1,Mountains
90,Big Bend National Park,"The South Rim Loop



#taplc_dmo_attribute_to_collection_clarity_10 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d146895-Reviews-The_South_Rim_Loop-Big_Bend_National_Park_Texas.html,65 ,5,1,Hiking Trails
91,Big Bend National Park,"Terlingua



#taplc_dmo_attribute_to_collection_clarity_11 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d105953-Reviews-Terlingua-Big_Bend_National_Park_Texas.html,172 ,4,1,Ghost Towns
92,Big Bend National Park,"El Camino Del Rio
(Lajitas)



#taplc_dmo_attribute_to_collection_clarity_12 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g1950037-d8699141-Reviews-El_Camino_Del_Rio-Lajitas_Big_Bend_National_Park_Texas.html,32 ,5,1,Scenic Drives
93,Big Bend National Park,"Rio Grande Village Nature Trail



#taplc_dmo_attribute_to_collection_clarity_13 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d145841-Reviews-Rio_Grande_Village_Nature_Trail-Big_Bend_National_Park_Texas.html,47 ,4.5,1,Hiking Trails
94,Big Bend National Park,"Sam Nail Ranch



#taplc_dmo_attribute_to_collection_clarity_14 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3915543-Reviews-Sam_Nail_Ranch-Big_Bend_National_Park_Texas.html,50 ,4,1,Hiking Trails
95,Big Bend National Park,"Rio Grande



#taplc_dmo_attribute_to_collection_clarity_15 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d145347-Reviews-Rio_Grande-Big_Bend_National_Park_Texas.html,48 ,4.5,1,Bodies of Water
96,Big Bend National Park,"Closed Canyon
(Lajitas)



#taplc_dmo_attribute_to_collection_clarity_16 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g1950037-d10150286-Reviews-Closed_Canyon-Lajitas_Big_Bend_National_Park_Texas.html,25 ,4.5,1,Hiking Trails
97,Big Bend National Park,"Chihuahuan Desert



#taplc_dmo_attribute_to_collection_clarity_17 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d144710-Reviews-Chihuahuan_Desert-Big_Bend_National_Park_Texas.html,25 ,4.5,1,Mysterious Sites
98,Big Bend National Park,"Lower Burro Mesa Pour-off Trail



#taplc_dmo_attribute_to_collection_clarity_18 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3935264-Reviews-Lower_Burro_Mesa_Pour_off_Trail-Big_Bend_National_Park_Texas.html,19 ,4.5,1,Hiking Trails
99,Big Bend National Park,"Rio Grande Village



#taplc_dmo_attribute_to_collection_clarity_19 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d145655-Reviews-Rio_Grande_Village-Big_Bend_National_Park_Texas.html,43 ,4,2,Visitor Centers
100,Big Bend National Park,"Mule Ears Spring Trail



#taplc_dmo_attribute_to_collection_clarity_20 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3820481-Reviews-Mule_Ears_Spring_Trail-Big_Bend_National_Park_Texas.html,22 ,4,2,Hiking Trails
101,Big Bend National Park,"Hoodoos Trailhead
(Lajitas)



#taplc_dmo_attribute_to_collection_clarity_21 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g1950037-d10150626-Reviews-Hoodoos_Trailhead-Lajitas_Big_Bend_National_Park_Texas.html,14 ,4,2,Hiking Trails
102,Big Bend National Park,"Homer Wilson Ranch



#taplc_dmo_attribute_to_collection_clarity_22 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3914346-Reviews-Homer_Wilson_Ranch-Big_Bend_National_Park_Texas.html,14 ,4,2,Historic Sites
103,Big Bend National Park,"Tuff Canyon Trail



#taplc_dmo_attribute_to_collection_clarity_23 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d10049638-Reviews-Tuff_Canyon_Trail-Big_Bend_National_Park_Texas.html,11 ,4,2,Canyons
104,Big Bend National Park,"Golf Courses (3)



#taplc_dmo_attribute_to_collection_clarity_24 { display:none;}",https://www.tripadvisor.com/Attractions-g60733-Activities-c61-t60-Big_Bend_National_Park_Texas.html,11 ,4,2,
105,Big Bend National Park,"Zipline & Aerial Adventure Parks (2)



#taplc_dmo_attribute_to_collection_clarity_25 { display:none;}",https://www.tripadvisor.com/Attractions-g60733-Activities-c61-t245-Big_Bend_National_Park_Texas.html,11 ,4,2,
106,Big Bend National Park,"Cattail Falls Trail



#taplc_dmo_attribute_to_collection_clarity_26 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d7974014-Reviews-Cattail_Falls_Trail-Big_Bend_National_Park_Texas.html,8 ,5,2,Hiking Trails
107,Big Bend National Park,"Pine Canyon Trail



#taplc_dmo_attribute_to_collection_clarity_27 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d2716999-Reviews-Pine_Canyon_Trail-Big_Bend_National_Park_Texas.html,10 ,4.5,2,Hiking Trails
108,Big Bend National Park,"Persimmon Gap Visitor Center



#taplc_dmo_attribute_to_collection_clarity_28 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g60733-d3807334-Reviews-Persimmon_Gap_Visitor_Center-Big_Bend_National_Park_Texas.html,11 ,4,2,Visitor Centers
109,Big Bend National Park,"Abandoned Contrabando Movie Set
(Lajitas)



#taplc_dmo_attribute_to_collection_clarity_29 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g1950037-d10150669-Reviews-Abandoned_Contrabando_Movie_Set-Lajitas_Big_Bend_National_Park_Texas.html,13 ,3.5,3,Points of Interest & Landmarks
110,Biscayne National Park,Boca Chita Key,https://www.tripadvisor.com/Attraction_Review-g143013-d145018-Reviews-Boca_Chita_Key-Biscayne_National_Park_Florida.html,38 ,4,1,Islands
111,Biscayne National Park,Elliott Key,https://www.tripadvisor.com/Attraction_Review-g143013-d145016-Reviews-Elliott_Key-Biscayne_National_Park_Florida.html,17 ,4,2,Islands
112,Biscayne National Park,Adams Key,https://www.tripadvisor.com/Attraction_Review-g143013-d145017-Reviews-Adams_Key-Biscayne_National_Park_Florida.html,2 ,3,3,Islands
113,Black Canyon Of The Gunnison National Park,Black Canyon,https://www.tripadvisor.com/Attraction_Review-g143014-d145009-Reviews-Black_Canyon-Black_Canyon_Of_The_Gunnison_National_Park_Colorado.html,662 ,5,1,Canyons
114,Black Canyon Of The Gunnison National Park,South Rim Road,https://www.tripadvisor.com/Attraction_Review-g143014-d145028-Reviews-South_Rim_Road-Black_Canyon_Of_The_Gunnison_National_Park_Colorado.html,121 ,5,2,Scenic Drives
115,Black Canyon Of The Gunnison National Park,Black Canyon Visitor Center,https://www.tripadvisor.com/Attraction_Review-g143014-d145030-Reviews-Black_Canyon_Visitor_Center-Black_Canyon_Of_The_Gunnison_National_Park_Colorado.html,111 ,4.5,3,Visitor Centers
