,index,name,street_address,city,state_abb,state,postal_code,country,address,coord_lat,coord_long,num_reviews,review_score,ranking,tag,visit_length,fee,description
10,10.0,Lake Guntersville State Park,1155 Lodge Dr,Guntersville,AL,Alabama,35976-8127,United States,"1155 Lodge Dr, Guntersville, AL, 35976-8127, United States",,,77,4.5,2,"State Parks, Nature & Parks",,NO,"A 6,000-acre park located along the shore of Lake Guntersville. Offering swimming, boating, tennis, 18-hole golf course, hiking, Nature Center, cottages, chalets, and campground. The lodge, chalets, motel, and convention center are situated on a 500-foot bluff overlooking Lake Guntersville. The State Park offers eagle viewing field trips, seminars and special programs ea Jan-Feb"
11,11.0,Lake Lurleen State Park,13226 Lake Lurleen Rd,Coker,AL,Alabama,35452-4111,United States,"13226 Lake Lurleen Rd, Coker, AL, 35452-4111, United States",,,6,4.0,1,"State Parks, Nature & Parks",,NO,"Sixteen hundred and twenty five acre state park. Located on the banks of a 250 acre fishing lake. The park facilities include a modern campground, picnic areas, play areas, comfort stations, pavilions, banquet room, 23+ miles of mountain biking/hiking trails, and nature center. The park offers a sandy beach with designated swimming area, fishing piers, boat rentals and boat launch areas."
12,12.0,Lakepoint Resort State Park,,Eufaula,AL,Alabama,,United States,", Eufaula, AL, , United States",,,96,4.0,1,"State Parks, Nature & Parks",,NO,
13,13.0,Meaher State Park,5200 Battleship Pkwy,Spanish Fort,AL,Alabama,,United States,"5200 Battleship Pkwy, Spanish Fort, AL, , United States",,,51,3.5,6,"State Parks, Nature & Parks",,NO,
14,14.0,Monte Sano State Park,5105 Nolen Ave SE,Huntsville,AL,Alabama,35801-1029,United States,"5105 Nolen Ave SE, Huntsville, AL, 35801-1029, United States",,,275,4.5,3,"State Parks, Nature & Parks",,NO,
15,15.0,Oak Mountain State Park,1100 Terrace Drive,Pelham,AL,Alabama,35124,United States,"1100 Terrace Drive, Pelham, AL, 35124, United States",,,303,4.5,1,"State Parks, Biking Trails, Outdoor Activities, Nature & Parks",,NO,
16,16.0,Rickwood Caverns State Park,370 Rickwood Park Road,Warrior,AL,Alabama,35180-3568,United States,"370 Rickwood Park Road, Warrior, AL, 35180-3568, United States",,,55,4.0,1,"State Parks, Nature & Parks",,NO,
17,17.0,Wind Creek State Park,4325 Al Highway 128,Alexander City,AL,Alabama,35010-6100,United States,"4325 Al Highway 128, Alexander City, AL, 35010-6100, United States",,,76,4.5,1,"State Parks, Nature & Parks",,NO,
18,18.0,Eynsham Park,Eynsham Park,Witney,,Alabama,OX29 6PR,United Kingdom,"Eynsham Park, Witney, , OX29 6PR, United Kingdom",,,8,4.5,13,Nature & Parks,,NO,"Built in the early 20th century, this large and impressive country estate is a horseback riders paradise."
19,19.0,Historic Blakeley State Park,34745 State Highway 225,Spanish Fort,AL,Alabama,,United States,"34745 State Highway 225, Spanish Fort, AL, , United States",,,79,4.0,4,"State Parks, Nature & Parks",,NO,
20,20.0,Brierfield Ironworks Historical State Park,240 Furnace Pkwy,Brierfield,AL,Alabama,35035-3621,United States,"240 Furnace Pkwy, Brierfield, AL, 35035-3621, United States",,,13,4.0,1,"State Parks, Nature & Parks",,NO,
21,21.0,Chickasabogue Park Alabama,760 Aldock Rd,Mobile,AL,Alabama,36613-2905,United States,"760 Aldock Rd, Mobile, AL, 36613-2905, United States",,,29,4.0,24,Nature & Parks,,NO,
22,22.0,Florala State Park,439 Victoria Ln,Florala,AL,Alabama,36442-3557,United States,"439 Victoria Ln, Florala, AL, 36442-3557, United States",,,19,4.0,1,"State Parks, Nature & Parks",,NO,
23,23.0,Blue Springs State Park,2595 Highway 10,Clio,AL,Alabama,36017-3514,United States,"2595 Highway 10, Clio, AL, 36017-3514, United States",,,10,4.5,1,"State Parks, Nature & Parks",,NO,
24,24.0,Tannehill Ironworks Historical State Park,12632 Confederate Pkwy,Mc Calla,AL,Alabama,35111-2620,United States,"12632 Confederate Pkwy, Mc Calla, AL, 35111-2620, United States",,,92,4.5,1,"State Parks, Nature & Parks",,NO,This park is built around the ruins of Birmingham's first 19th-century iron factory.
25,25.0,Alamo Lake State Park,,Wenden,AZ,Arizona,,United States,", Wenden, AZ, , United States",,,19,4.0,1,"State Parks, Nature & Parks",,NO,
26,26.0,Boyce Thompson Arboretum,37615 E US Highway 60,Superior,AZ,Arizona,85173-5100,United States,"37615 E US Highway 60, Superior, AZ, 85173-5100, United States",,,379,5.0,1,"State Parks, Gardens, Nature & Parks, Nature & Wildlife Areas",,NO,"Boyce Thompson Arboretum is located in the heart of the Sonoran Desert, just one hour east of Phoenix, Arizona. Three miles of garden paths and trails wind through 392 acres of plant exhibits and striking landscapes. Over 2,600 different types of plants from the deserts of Australia, North and South America, southern Africa, and other arid-land regions of the world blend seamlessly into an incomparable natural setting. Nestled along Queen Creek at the foot of Picketpost Mountain, the Arboretum is a haven for plant lovers, photographers, birders, and nature enthusiasts of all ages."
27,27.0,Buckskin Mountain State Park,5476 N Highway 95,Parker,AZ,Arizona,85344-8776,United States,"5476 N Highway 95, Parker, AZ, 85344-8776, United States",,,63,4.5,2,"State Parks, Nature & Parks",,NO,
28,28.0,Catalina State Park,11570 N Oracle Rd,Tucson,AZ,Arizona,85737-9589,United States,"11570 N Oracle Rd, Tucson, AZ, 85737-9589, United States",,,551,4.5,9,"State Parks, Nature & Parks",,NO,"This beautiful park north of Tucson is great for hiking, picnicking and other outdoors activities."
29,29.0,Cattail Cove State Park,Hwy 95,Lake Havasu City,AZ,Arizona,86405,United States,"Hwy 95, Lake Havasu City, AZ, 86405, United States",,,40,4.5,11,"Deserts, State Parks, Nature & Parks, Outdoor Activities, Beaches, Marinas, Bodies of Water",,NO,
30,30.0,Dead Horse Ranch State Park,675 Dead Horse Ranch Rd,Cottonwood,AZ,Arizona,86326-3711,United States,"675 Dead Horse Ranch Rd, Cottonwood, AZ, 86326-3711, United States",,,284,4.5,3,"State Parks, Nature & Parks",,NO,"A scenic park that belies its ominous name and is best known for bird watching, camping, canoeing, hiking and horseback riding."
31,31.0,Fool Hollow Lake Recreation Area,1500 Fools Hollow Rd,Show Low,AZ,Arizona,85901-3574,United States,"1500 Fools Hollow Rd, Show Low, AZ, 85901-3574, United States",,,193,4.5,1,"State Parks, Nature & Parks",,NO,
32,32.0,Fort Verde State Historic Park,125 E Hollamon St,Camp Verde,AZ,Arizona,86322-7100,United States,"125 E Hollamon St, Camp Verde, AZ, 86322-7100, United States",,,234,4.5,5,"Historic Sites, State Parks, Sights & Landmarks, Nature & Parks",,NO,"Winner of the 2015 Arizona Governor's Heritage Preservation Honor Award. Fort Verde is one of the best preserved examples of an Indian Wars period fort in Arizona. This original Military Headquarters is now a museum which contains artifacts, photos, videos, and interpretive exhibits focused on the history and lives of those who lived and served at Fort Verde: soldiers, Indian Scouts, settlers, doctors, and Native Americans. Three of the original homes along Officer's Row are still remaining and furnished with period artifacts."
33,33.0,Homolovi Ruins State Park,AZ-87,Winslow,AZ,Arizona,86047,United States,"AZ-87, Winslow, AZ, 86047, United States",,,159,4.0,3,"Ancient Ruins, State Parks, Nature & Parks, Sights & Landmarks",,NO,
34,34.0,Jerome State Historic Park,State Route 89A,Jerome,AZ,Arizona,86331,United States,"State Route 89A, Jerome, AZ, 86331, United States",,,386,4.5,1,"Ghost Towns, State Parks, Sights & Landmarks, Nature & Parks",,NO,This park is located on the grounds of the historic Douglas Mansion and Mine Museum and has displays on local mining history and methods.
35,35.0,Kartchner Caverns State Park,Highway 90,Benson,AZ,Arizona,85602,United States,"Highway 90, Benson, AZ, 85602, United States",,,1236,4.5,1,"Caverns & Caves, State Parks, Nature & Parks",,NO,
36,36.0,Lake Havasu State Park,699 London Bridge Rd,Lake Havasu City,AZ,Arizona,86403-4655,United States,"699 London Bridge Rd, Lake Havasu City, AZ, 86403-4655, United States",,,162,4.5,5,"State Parks, Nature & Parks",,NO,"Comprised of two distinct areas, Windsor Beach and Cattail Cove, this recreational park offers a variety of activities including camping, hiking, fishing and boating."
37,37.0,Lost Dutchman State Park,5 miles ne of Apache Junction off State Route 88,Apache Junction,AZ,Arizona,85219,United States,"5 miles ne of Apache Junction off State Route 88, Apache Junction, AZ, 85219, United States",,,385,4.5,2,"State Parks, Nature & Parks",,NO,"Named after the fabled lost gold mine, Lost Dutchman State Park is located in the Sonoran Desert, 40 miles east of Phoenix. Several trails lead from the park into the Superstition Wilderness and surrounding Tonto National Forest. Take a stroll along the Native Plant Trail or hike the challenging Siphon Draw Trail to the top of the Flatiron. Depending on the year's rainfall, you might be treated to a carpet of desert wildflowers in the spring. Enjoy a weekend of camping and experience native wildlife including mule deer, coyote, javelina and jackrabbit. New for 2014! A four mile Mountain Bike Loop Trail has opened at the park -- this is a great way to enjoy the park's beauty! The park offers a variety of hiking trails, nature trails, picnic facilities, 134 campsites, a dump station, restrooms, showers, and group use areas. The visitor center sells maps and other publications. Before you hike, be prepared with enough water and proper footwear as the trails are steep and challenging."
38,38.0,Lyman Lake State Park,,Saint Johns,AZ,Arizona,,United States,", Saint Johns, AZ, , United States",,,27,4.5,1,"State Parks, Nature & Parks",,NO,
39,39.0,McFarland State Historic Park,24 West Ruggles,Florence,AZ,Arizona,85232,United States,"24 West Ruggles, Florence, AZ, 85232, United States",,,20,4.0,5,"State Parks, Nature & Parks",,NO,
40,40.0,Oracle State Park,3820 Wildlife Drive,Oracle,AZ,Arizona,,United States,"3820 Wildlife Drive, Oracle, AZ, , United States",,,25,4.5,3,"State Parks, Nature & Parks",,NO,
41,41.0,Patagonia Lake State Park,400 Patagonia Lake Road,Patagonia,AZ,Arizona,85624,United States,"400 Patagonia Lake Road, Patagonia, AZ, 85624, United States",,,181,4.0,1,"Beaches, Marinas, Nature & Parks, Outdoor Activities, State Parks, Bodies of Water",,NO,"This southern Arizona park is centered around Patagonia Lake, a beautiful desert lake known for its outdoor recreation."
42,42.0,Picacho Peak State Park,,Picacho,AZ,Arizona,85241,United States,", Picacho, AZ, 85241, United States",,,122,4.5,2,"State Parks, Points of Interest & Landmarks, Nature & Parks, Sights & Landmarks, Mountains",,NO,This park offers yearly re-enactments of the key Civil War battle that took place here.
43,43.0,Red Rock State Park,4050 Red Rock Loop Road,Sedona,AZ,Arizona,86336,United States,"4050 Red Rock Loop Road, Sedona, AZ, 86336, United States",,,1136,4.5,11,"Nature & Wildlife Areas, State Parks, Nature & Parks",,NO,"Sedona's newest park offers an environmental information center as well as wonderful locations for hiking, biking, birding and fishing."
44,44.0,Riordan Mansion State Historic Park,409 W Riordan Rd,Flagstaff,AZ,Arizona,86001-6440,United States,"409 W Riordan Rd, Flagstaff, AZ, 86001-6440, United States",,,433,4.5,7,"Historic Sites, State Parks, Nature & Parks, Sights & Landmarks",,NO,This five-acre park showcases the extraordinary early 1900s mansion owned by the Riordan family and includes all of the original furnishings and decor.
45,45.0,Roper Lake State Park,101 East Roper Lake Road,Safford,AZ,Arizona,85546,United States,"101 East Roper Lake Road, Safford, AZ, 85546, United States",,,77,4.0,1,"State Parks, Nature & Parks",,NO,This 400-acre park has five miles of hiking trails and plenty of water for swimming and fishing.
46,46.0,Golden Gate Bridge,"Lincoln Boulevard, near Doyle Drive and Fort Point",San Francisco,CA,California,94129,United States,"Lincoln Boulevard, near Doyle Drive and Fort Point, San Francisco, CA, 94129, United States",,,35178,4.5,2,"Bridges, Sights & Landmarks",,NO,"Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco."
47,47.0,Slide Rock State Park,6871 N. Highway 89A,Sedona,AZ,Arizona,86336,United States,"6871 N. Highway 89A, Sedona, AZ, 86336, United States",,,1640,4.5,19,"State Parks, Nature & Parks",,NO,This state park contains a natural water slide plus pools for swimming and ample opportunities for trout fishing enthusiasts to wet their lines.
48,48.0,Patagonia-Sonoita Creek Preserve,150 Blue Heaven Rd,Patagonia,AZ,Arizona,85624,United States,"150 Blue Heaven Rd, Patagonia, AZ, 85624, United States",,,50,4.5,3,"Nature & Wildlife Areas, Nature & Parks",,NO,
49,49.0,Tombstone Courthouse State Historic Park,223 East Toughnut Street,Tombstone,AZ,Arizona,85638,United States,"223 East Toughnut Street, Tombstone, AZ, 85638, United States",,,719,4.5,3,"Specialty Museums, Museums",,NO,"Welcome to the Tombstone Courthouse State Historic Park. Built in 1882 in the shape of a Greek cross, this two-story Victorian structure once housed the offices of the Sheriff, Recorder, Treasurer, Board of Supervisors, Jail, and Courtrooms of Cochise County. Today this 12,000 sq.Ft. Courthouse is a museum filled with the glitter and guns of those who tamed the territory.
                  



                   The park includes a museum, exhibits, a gift shop, restrooms and shaded picnic areas.
                  



                   Our Gift Shop features a wide variety of books, postcards, t-shirts, collective coins, badges, coffee mugs, some handcrafted items and other souvenirs.
                  



                   We accept Visa, MasterCard, Discover and Cash. Museum is open daily from 9:00am- 5:00pm. Gift shop closes at 4:45pm. Stop in for an interesting tour and/or the perfect gift!"
50,50.0,Tonto Natural Bridge State Park,"off Hwy 87, just 10 miles north of Payson",Payson,AZ,Arizona,85547,United States,"off Hwy 87, just 10 miles north of Payson, Payson, AZ, 85547, United States",,,656,4.5,1,"State Parks, Nature & Parks",,NO,
51,51.0,Tubac Presidio State Historic Park,1 Burruel St,Tubac,AZ,Arizona,85646-1296,United States,"1 Burruel St, Tubac, AZ, 85646-1296, United States",,,146,4.5,1,"State Parks, Nature & Parks",,NO,"Come to Tubac Presidio State Historic Park and experience a full sweep of Southwest history! We showcase every culture (Native American, Spanish, Mexican, Pioneer American, and Arizonian) with award-winning artifacts and displays to bring 2,000 years of history to life. See Arizona's first printing press, our original 1885 school house, and much more. Tubac was recently named one of 14 must-see destinations in the world by Conde Nast Traveler. Come and see why!"
52,52.0,Devils River State Natural Area,HC 01,Del Rio,TX,Texas,78840,United States,"HC 01, Del Rio, TX, 78840, United States",,,11,4.5,4,"Nature & Wildlife Areas, Nature & Parks",,NO,
53,53.0,Yuma Quartermaster Depot State Historic Park,201 N 4th Ave,Yuma,AZ,Arizona,85364-2336,United States,"201 N 4th Ave, Yuma, AZ, 85364-2336, United States",,,158,4.0,4,"State Parks, Historic Sites, Nature & Parks, Sights & Landmarks",,NO,"Once a major military supply point, this site contains the quartermaster depot and officers' quarters as well as restored historic buildings commemorating five centuries of transportation across the Colorado River."
54,54.0,Yuma Territorial Prison State Historic Park,1 Prison Hill Rd,Yuma,AZ,Arizona,85364,United States,"1 Prison Hill Rd, Yuma, AZ, 85364, United States",,,946,4.5,1,"Historic Sites, History Museums, Sights & Landmarks, Nature & Parks, Museums, State Parks",,NO,"Only remnants remain of this historic prison built in 1876, where you can see photographs of some of the prisoners who served time here over its 33 years of operation and get a feel for frontier justice."
55,55.0,Arkansas Museum of Natural Resources,3853 Smackover Hwy,Smackover,AR,Arkansas,71762-9575,United States,"3853 Smackover Hwy, Smackover, AR, 71762-9575, United States",,,34,4.5,1,"Specialty Museums, Museums",,NO,
56,56.0,Arkansas Post Museum,5530 Highway 165 S # 1,Gillett,AR,Arkansas,72055-9730,United States,"5530 Highway 165 S # 1, Gillett, AR, 72055-9730, United States",,,8,4.0,2,"History Museums, Museums",,NO,
57,57.0,Bull Shoals-White River State Park,140 Boat Dock Cove Road,Bull Shoals,AR,Arkansas,72619,United States,"140 Boat Dock Cove Road, Bull Shoals, AR, 72619, United States",,,,0,10,"State Parks, Bodies of Water, Nature & Parks",,NO,
58,58.0,Cane Creek State Park,Ark. 293,Star City,AR,Arkansas,71667,United States,"Ark. 293, Star City, AR, 71667, United States",,,22,4.5,1,"State Parks, Nature & Parks",,NO,
59,59.0,Cadron Settlement Park,6200 Highway 319,Conway,AR,Arkansas,72034,United States,"6200 Highway 319, Conway, AR, 72034, United States",,,23,4.0,4,"Historic Sites, Nature & Wildlife Areas, Nature & Parks, Sights & Landmarks",,NO,
60,60.0,Cossatot River State Park,1980 Highway 278 W,Wickes,AR,Arkansas,71973-9424,United States,"1980 Highway 278 W, Wickes, AR, 71973-9424, United States",,,31,4.5,1,"State Parks, Nature & Parks",,NO,
61,61.0,Crater of Diamonds State Park,209 State Park Rd,Murfreesboro,AR,Arkansas,71958-8947,United States,"209 State Park Rd, Murfreesboro, AR, 71958-8947, United States",,,1005,4.0,1,"State Parks, Mines, Sights & Landmarks, Nature & Parks",,NO,
62,62.0,Momma v's,2008 W Northern Ave,Crowley,LA,Louisiana,70526-1908,United States,"2008 W Northern Ave, Crowley, LA, 70526-1908, United States",,,,0,4,"Bars & Clubs, Nightlife",,NO,
63,63.0,Daisy State Park,103 East Park,Kirby,AR,Arkansas,71950,United States,"103 East Park, Kirby, AR, 71950, United States",,,51,4.5,1,"State Parks, Nature & Parks",,NO,
64,64.0,Davidsonville Historic State Park,7953 Highway 166 S,Pocahontas,AR,Arkansas,72455-7039,United States,"7953 Highway 166 S, Pocahontas, AR, 72455-7039, United States",,,9,4.5,2,"State Parks, Nature & Parks",,NO,"This park preserves the site of historic Davidsonville. Established in 1815, the town included the Arkansas Territory's first post office, courthouse, and land office. Bypassed by the Southwest Trail, an overland route from St. Louis to the border of Mexico, the town faded by the 1830s. Archeological excavations here are uncovering remarkable finds of streets, foundations, and objects that tell a fascinating story of life on the Arkansas frontier following the Louisiana Purchase. Park exhibits and interpretive tours provide information about this important frontier town.Fishing is a major activity here today. The park borders the Black River (boat launch ramp) and a 12-acre fishing lake (no launch ramp) with barrier-free fishing pier. Anglers can also choose from the nearby Spring and Eleven Point rivers. Rental fishing boats (trolling motors only), pedal boats, canoes, and kayaks are available in the park.Facilities include 49 campsites (one Class A, 23 Class B and 25 Tent Sites), picnic areas, two standard pavilions (screened), playgrounds, four hiking trails including a self-guided walking trail though the historic town site, and a visitor center with exhibits and a gift shop.From Pocahontas, travel two miles west on U.S. 62, then go nine miles south on Ark. 166. Or from Black Rock, take U.S. 63 to Ark. 361, then go six miles north."
65,65.0,DeGray Lake Resort State Park,2027 State Park Maintenance Rd,Bismarck,AR,Arkansas,71929-7308,United States,"2027 State Park Maintenance Rd, Bismarck, AR, 71929-7308, United States",,,160,4.5,1,"State Parks, Nature & Parks",,NO,"Arkansas's resort park lies on the north shore of DeGray Lake, a 13,800-acre fishing and water sport paradise in the foothills of the Ouachita Mountains. Here resort amenities combine with plenty of outdoor fun and adventure. DeGray Lake Resort offers a 94-room lodge with conference center, 113 campsites (Class B) and three Rent-A-Yurt, championship golf, swimming, tennis, trails, bicycling, baseball, disc golf and guided horseback trail rides. The full-service marina offers tackle, dock space, fuel, and a variety of boat rentals including party barges, kayaks, and pedal boats."
66,66.0,Delta Heritage Trail State Park,,,AR,Arkansas,,United States,", , AR, , United States",,,1,5.0,548,"Hiking Trails, Outdoor Activities, Nature & Parks",,NO,
67,67.0,Devil's Den State Park,11333 W Highway 74,West Fork,AR,Arkansas,72774-9666,United States,"11333 W Highway 74, West Fork, AR, 72774-9666, United States",,,244,4.5,1,"State Parks, Nature & Parks",,NO,
68,68.0,Hampson Museum State Park,US Hwy. 61,Wilson,AR,Arkansas,72395,United States,"US Hwy. 61, Wilson, AR, 72395, United States",,,13,4.5,1,"History Museums, State Parks, Nature & Parks, Museums",,NO,
69,69.0,Historic Washington State Park,U.S. 278,Washington,AR,Arkansas,71862,United States,"U.S. 278, Washington, AR, 71862, United States",,,92,4.5,1,"State Parks, Nature & Parks",,NO,
70,70.0,Hobbs State Park Conservation Area,20201 E Highway 12,Rogers,AR,Arkansas,72756-7530,United States,"20201 E Highway 12, Rogers, AR, 72756-7530, United States",,,104,4.5,3,"State Parks, Nature & Parks",,NO,
71,71.0,Jacksonport State Park,205 Avenue Street,Jacksonport,AR,Arkansas,72075,United States,"205 Avenue Street, Jacksonport, AR, 72075, United States",,,15,4.5,1,"State Parks, Historic Sites, Sights & Landmarks, Nature & Parks, Nature & Wildlife Areas",,NO,"In the 1800s steamboats made Jacksonport a thriving river port. During the Civil War, the town was occupied by both Confederate and Union forces because of its crucial locale. Jacksonport became county seat in 1854, and constuction of a stately, two-story brick courthouse began in 1869. The town began to decline in the 1880s when bypassed by the railroad. The county seat was moved in 1891 to nearby Newport, and Jacksonport's stores, wharves and saloons soon vanished.Today, exhibits in the park's 1872 courthouse and programs by park interpreters share the story of this historic river port. Admission to the courthouse is free. The park offers 20 Class A campsites with water and electric hookups including 50 amp service at all sites, a swimming beach on the White River, standard pavilion, picnic sites, playground, and the Tunstall Riverwalk Trail to stroll alongside the river. The park is on Ark. 69 in Jacksonport (just three miles north of Newport)."
72,72.0,Jenkins Ferry State Park,Hwy 46,Leola,AR,Arkansas,,United States,"Hwy 46, Leola, AR, , United States",,,1,5.0,1,"State Parks, Nature & Parks",,NO,
73,73.0,Lake Catherine State Park,,Hot Springs,AR,Arkansas,,United States,", Hot Springs, AR, , United States",,,292,4.5,14,"State Parks, Nature & Parks",,NO,
74,74.0,Lake Charles State Park,3705 Highway 25,Powhatan,AR,Arkansas,72458-9010,United States,"3705 Highway 25, Powhatan, AR, 72458-9010, United States",,,14,4.5,2,"State Parks, Nature & Parks",,NO,
75,75.0,Lake Chicot State Park,2542 Highway 257,Lake Village,AR,Arkansas,71653-9515,United States,"2542 Highway 257, Lake Village, AR, 71653-9515, United States",,,34,4.0,2,"State Parks, Nature & Parks",,NO,
76,76.0,Lake Dardanelle State Park,,Dardanelle,AR,Arkansas,,United States,", Dardanelle, AR, , United States",,,58,4.5,2,"State Parks, Nature & Parks",,NO,
77,77.0,Lake Fort Smith State Park,,Mountainburg,AR,Arkansas,72946,United States,", Mountainburg, AR, 72946, United States",,,74,4.5,1,"State Parks, Nature & Parks",,NO,
78,78.0,Lake Frierson State Park,7904 Highway 141 S,Bono,AR,Arkansas,72401-9234,United States,"7904 Highway 141 S, Bono, AR, 72401-9234, United States",,,3,4.5,1,"Hiking Trails, Bodies of Water, Outdoor Activities, Nature & Parks, State Parks",,NO,"Lake Frierson is located on scenic Crowley's Ridge in Northeast Arkansas. The park features varied fishing opportunities including boat rentals and ample shoreline access. The park visitor center offers live bait sales, a wide variety of tackle and basic groceries and gift items.
                  



                   The park also has 7 campsites; 4 with 30 amp service and water. There is a large playground and picnic sites throughout the park offering shoreline access and wonderful views.
                  



                   Sunsets are especially popular as the park is situated on the eastern side of the lake. Two short trails allow visitors to explore the unique geology and hardwood forest of Crowley's Ridge."
79,79.0,Lake Ouachita,,Hot Springs,AR,Arkansas,,United States,", Hot Springs, AR, , United States",,,362,5.0,4,"Bodies of Water, Nature & Parks",,NO,
80,80.0,Lake Poinsett State Park,,,AR,Arkansas,,United States,", , AR, , United States",,,3,4.5,493,"State Parks, Nature & Parks",,NO,
81,81.0,Logoly State Park,County Road 47,Mc Neil,AR,Arkansas,71752,United States,"County Road 47, Mc Neil, AR, 71752, United States",,,15,4.5,1,"State Parks, Nature & Parks",,NO,
82,82.0,Louisiana Purchase State Park,Ark. 362,Brinkley,AR,Arkansas,,United States,"Ark. 362, Brinkley, AR, , United States",,,19,4.0,1,"State Parks, Nature & Parks",,NO,
